Good,Bad
-40.375,-116.5
-51.3125,-105.5
-62.8125,-92.625
-73.375,-79.75
-82.125,-69.875
-90.25,-63.4375
-99.5,-58.625
-107.6875,-53.25
-110.3125,-47.1875
-110.4375,-41.375
-110.5,-36.625
-110.5,-33.1875
-110.5,-31
-110.625,-29.6875
-110.6875,-29.875
-110.75,-30.75
-110.6875,-31.8125
-110.6875,-33.75
-110.6875,-36.625
-110.625,-40.375
-110.625,-44.625
-110.625,-49.875
-110.5625,-57.375
-110.5,-67.5625
-110.625,-78.9375
-110.75,-89.875
-110.6875,-99.25
-110.6875,-106.25
-110.75,-109.5
-110.8125,-109.3125
-110.875,-105.4375
-110.9375,-100.9375
-110.9375,-99.3125
-110.9375,-97.625
-110.9375,-96.125
-110.9375,-94.875
-111,-93.8125
-111,-92.9375
-110.9375,-92.1875
-111,-91.6875
-111,-91.625
-111,-91.625
-111,-91.5
-111,-91.5
-111,-91.5625
-111,-91.625
-111,-91.625
-111,-91.6875
-111,-91.875
-111,-92.0625
-111,-92.375
-111,-92.6875
-111,-93.1875
-111,-93.875
-111,-95.25
-111,-97.0625
-111,-98.5625
-111,-99.8125
-111,-101.1875
-111,-103.8125
-111,-111.375
-111,-118.875
-111,-121.9375
-111,-115.9375
-111,-106
-111,-91.5
-111,-75.625
-111,-62.125
-111,-53.25
-111,-46.9375
-111,-41.75
-111,-36.875
-111,-33.1875
-111,-31.0625
-111,-29.25
-111,-28.125
-110.9375,-28.5625
-110.9375,-29.6875
-110.9375,-30.875
-110.9375,-34.0625
-110.875,-41.75
-110.875,-50.9375
-110.875,-62.6875
-110.875,-77
-110.875,-91.25
-110.875,-102.125
-110.875,-109.4375
-110.875,-112.8125
-110.875,-110.125
-110.875,-106
-110.875,-103.5
-110.875,-102.5
-110.8125,-102.125
-110.8125,-102.375
-110.8125,-102.625
-110.8125,-102.8125
-110.875,-102.9375
-110.875,-103.25
-110.875,-103.625
-110.875,-104
-110.875,-104.4375
-110.875,-104.6875
-110.875,-104.9375
-110.875,-105.4375
-110.8125,-106.625
-110.8125,-108.125
-110.875,-110.6875
-110.875,-112.625
-110.875,-109.5
-110.875,-100.3125
-110.875,-86.625
-110.875,-72.3125
-110.875,-61.375
-110.875,-52.1875
-110.875,-44.5625
-110.875,-39
-110.875,-35.4375
-110.8125,-33.125
-110.75,-31.75
-110.8125,-31
-110.8125,-30.5625
-110.8125,-30.1875
-110.8125,-30
-110.8125,-30
-110.8125,-30.375
-110.8125,-31.0625
-110.8125,-32.5625
-110.8125,-35.5
-110.8125,-41
-110.8125,-47.75
-110.8125,-56.25
-110.8125,-70.625
-110.8125,-86.8125
-110.8125,-100.625
-110.875,-106.5
-110.875,-101.5625
-110.8125,-96.0625
-110.8125,-93.4375
-110.8125,-91.5
-110.875,-90.375
-110.875,-90.375
-110.9375,-91.1875
-111,-92
-110.9375,-92.375
-110.875,-92.3125
-110.875,-92.0625
-110.875,-92.0625
-110.875,-92.1875
-110.875,-92.25
-110.875,-92.1875
-110.875,-92.1875
-110.875,-92.375
-110.875,-92.9375
-110.875,-95.625
-110.9375,-98.625
-110.8125,-100.5625
-110.875,-104.6875
-110.9375,-113.8125
-111,-125.5625
-111,-132.0625
-111,-129.5
-111,-117.9375
-111,-98.625
-111,-75.5625
-111,-55.75
-111,-40.9375
-111,-31.375
-111,-26.25
-111,-24.75
-111,-26.0625
-111,-29.375
-111,-37.5625
-111,-49.3125
-111,-61.625
-111,-73.9375
-110.875,-86.875
-110.875,-99.1875
-110.875,-111.25
-110.9375,-124.375
-111.0625,-138.4375
-111.1875,-152
-111.3125,-161.6875
-111.3125,-164.375
-111.3125,-155.9375
-111.25,-135.875
-111.125,-107.1875
-111.25,-75.0625
-111.3125,-50.75
-111.0625,-35.9375
-111,-27.1875
-111.0625,-23.1875
-111.0625,-25.375
-111.0625,-34.8125
-111.0625,-53.5
-111,-76.3125
-110.9375,-100
-110.9375,-124.1875
-110.9375,-148.25
-110.9375,-167.75
-110.9375,-177.5625
-110.9375,-173.375
-110.9375,-156.8125
-110.8125,-129.75
-110.8125,-95.375
-110.75,-60.375
-110.75,-38.9375
-110.6875,-25.9375
-110.625,-21.4375
-110.625,-19.6875
-110.625,-22.5625
-110.625,-28.125
-110.625,-38.625
-110.625,-53.4375
-110.5625,-71.125
-110.5625,-91.25
-110.5625,-112.5
-110.5625,-134.9375
-110.5625,-156.5
-110.5625,-169.1875
-110.5625,-165.8125
-110.5625,-149
-110.5625,-121.6875
-110.5625,-88.9375
-110.5625,-57.5625
-110.5625,-35.9375
-110.5625,-24
-110.5,-19.625
-110.5,-21.9375
-110.5,-28.4375
-110.5,-38.75
-110.5,-54
-110.5,-72.4375
-110.5,-92.75
-110.5,-112.5
-110.5,-130.1875
-110.5,-145.6875
-110.5,-160.3125
-110.5,-171.8125
-110.5,-176.1875
-110.5,-170.125
-110.5,-154.4375
-110.5,-129.875
-110.5,-98.0625
-110.5,-63.8125
-110.5,-41.1875
-110.5,-29.6875
-110.3125,-23.75
-109.875,-21
-109,-23.75
-107,-29.375
-102.75,-39.375
-95.6875,-54.5625
-87.3125,-74.5
-77.4375,-96.375
-67.125,-117.6875
-57.9375,-136.1875
-52.25,-154
-47.75,-169.9375
-44.4375,179.375
-42,179.1875
-39.6875,-170.3125
-37.375,-149.5625
-35.125,-117.1875
-33.1875,-77.375
-31.8125,-46.875
-30.625,-32.3125
-29.25,-26.75
